,Tree Depth,Training Error,Test Error
0,1,0.37749999999999995,0.39
1,2,0.349,0.33499999999999996
2,3,0.2835,0.2833333333333333
3,4,0.20799999999999996,0.25
4,5,0.14349999999999996,0.20499999999999996
5,6,0.09199999999999997,0.20166666666666666
6,7,0.05249999999999999,0.20833333333333337
7,8,0.034499999999999975,0.2366666666666667
8,9,0.02300000000000002,0.22666666666666668
9,10,0.009499999999999953,0.245
10,11,0.005499999999999949,0.2433333333333333
11,12,0.0014999999999999458,0.23833333333333329
